Source,Target,Weight
1653,269,0.7352941176470589
1653,303,0.7352941176470589
1653,306,0.7352941176470589
1653,318,0.7352941176470589
1653,427,0.7352941176470589
1653,463,0.7352941176470589
1653,509,0.7352941176470589
1653,531,0.7352941176470589
1653,650,0.7352941176470589
1653,896,0.7352941176470589
1653,1628,0.7352941176470589
1653,86,0.5882352941176471
1653,242,0.5882352941176471
1653,286,0.5882352941176471
1653,305,0.5882352941176471
1653,344,0.5882352941176471
1653,347,0.5882352941176471
1653,750,0.5882352941176471
1653,874,0.5882352941176471
1653,900,0.5882352941176471
1653,1007,0.5882352941176471
1653,1101,0.5882352941176471
1191,886,0.573155124118613
1191,904,0.5602240896358543
1357,1152,0.4749368223689574
1191,690,0.4654206510190283
1357,934,0.461518708730741
1293,313,0.4611151641928521
1293,340,0.4611151641928521
1293,336,0.4574243490499649
1293,346,0.44239207862835106
1653,244,0.4411764705882353
1653,258,0.4411764705882353
1653,272,0.4411764705882353
1653,311,0.4411764705882353
1342,100,0.43823088455772113
1342,285,0.4370814592703648
1342,1381,0.4370814592703648
1342,6,0.4359320339830085
1342,93,0.4359320339830085
1342,268,0.4359320339830085
1342,246,0.43478260869565216
1175,288,0.4286132159083976
1357,275,0.4189655172413793
1191,326,0.4183771209633279
1357,305,0.4181992337164751
1357,740,0.4181992337164751
1357,268,0.4174329501915709
1357,306,0.4174329501915709
1357,331,0.4174329501915709
